id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kondisi_lab,jumlah_lab,satuan,tahun
159,32,JAWA BARAT,3205,KABUPATEN GARUT,RUSAK BERAT,0,UNIT,2018/2019
160,32,JAWA BARAT,3205,KABUPATEN GARUT,RUSAK TOTAL,1,UNIT,2018/2019
161,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,BAIK,6,UNIT,2018/2019
162,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,RUSAK RINGAN,5,UNIT,2018/2019
163,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,RUSAK SEDANG,0,UNIT,2018/2019
164,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,RUSAK BERAT,0,UNIT,2018/2019
165,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,RUSAK TOTAL,0,UNIT,2018/2019
166,32,JAWA BARAT,3207,KABUPATEN CIAMIS,BAIK,7,UNIT,2018/2019
167,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RUSAK RINGAN,3,UNIT,2018/2019
168,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RUSAK SEDANG,1,UNIT,2018/2019
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RUSAK BERAT,1,UNIT,2018/2019
170,32,JAWA BARAT,3207,KABUPATEN CIAMIS,RUSAK TOTAL,0,UNIT,2018/2019
171,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,BAIK,2,UNIT,2018/2019
172,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RUSAK RINGAN,0,UNIT,2018/2019
173,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RUSAK SEDANG,0,UNIT,2018/2019
174,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RUSAK BERAT,1,UNIT,2018/2019
175,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RUSAK TOTAL,1,UNIT,2018/2019
176,32,JAWA BARAT,3209,KABUPATEN CIREBON,BAIK,4,UNIT,2018/2019
177,32,JAWA BARAT,3209,KABUPATEN CIREBON,RUSAK RINGAN,2,UNIT,2018/2019
178,32,JAWA BARAT,3209,KABUPATEN CIREBON,RUSAK SEDANG,0,UNIT,2018/2019
179,32,JAWA BARAT,3209,KABUPATEN CIREBON,RUSAK BERAT,0,UNIT,2018/2019
180,32,JAWA BARAT,3209,KABUPATEN CIREBON,RUSAK TOTAL,0,UNIT,2018/2019
181,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,BAIK,6,UNIT,2018/2019
182,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,RUSAK RINGAN,2,UNIT,2018/2019
183,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,RUSAK SEDANG,1,UNIT,2018/2019
184,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,RUSAK BERAT,0,UNIT,2018/2019
185,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,RUSAK TOTAL,0,UNIT,2018/2019
186,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,BAIK,5,UNIT,2018/2019
187,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,RUSAK RINGAN,9,UNIT,2018/2019
188,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,RUSAK SEDANG,0,UNIT,2018/2019
189,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,RUSAK BERAT,0,UNIT,2018/2019
190,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,RUSAK TOTAL,0,UNIT,2018/2019
191,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BAIK,2,UNIT,2018/2019
192,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,RUSAK RINGAN,3,UNIT,2018/2019
193,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,RUSAK SEDANG,0,UNIT,2018/2019
194,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,RUSAK BERAT,0,UNIT,2018/2019
195,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,RUSAK TOTAL,1,UNIT,2018/2019
196,32,JAWA BARAT,3213,KABUPATEN SUBANG,BAIK,7,UNIT,2018/2019
